1,1970-01-01,John,Doe,M,Monday
2,1975-05-15,Jane,Smith,F,Tuesday
3,1982-09-22,Michael,Johnson,M,Wednesday
4,1988-12-10,Emily,Williams,F,Thursday
5,1965-03-28,David,Brown,M,Friday
6,1991-07-05,Sophia,Jones,F,Saturday
7,1978-11-18,Daniel,Miller,M,Sunday
8,1973-04-02,Olivia,Davis,F,Monday
9,1986-06-29,Matthew,Wilson,M,Tuesday
10,1994-08-12,Isabella,Anderson,F,Wednesday
11,1961-02-14,Robert,Taylor,M,Thursday
12,1985-10-20,Mia,Thomas,F,Friday
13,1977-01-31,Joseph,Moore,M,Saturday
14,1990-06-08,Ava,Jackson,F,Sunday
15,1968-09-17,Christopher,Martin,M,Monday
16,1983-12-25,Emma,Thompson,F,Tuesday
17,1972-07-10,Andrew,White,M,Wednesday
18,1996-03-18,Abigail,Harris,F,Thursday
19,1980-11-22,Joshua,Garcia,M,Friday
20,1974-08-05,Sophia,Martinez,F,Saturday
